comment,emotion
isi be beyond this blast fund by dubai billionaire,anxiety
devil be come to earth through people ...,grief
come on its easter what s wrong with these terrorist what be they look for I think that srilankan war finish year ago,fear
islam be a religion of satan,grief
my eye be fill with sadness .,sad
it wouldn trade mark t of happen if they ban gu ... oh wait it be a bomb,anxiety
where be erdogan ? he be quick to threaten when his people be kill in new zealand but where be he when his people murder over 300 innocent people and injure over 500 . ?,fear
I m curious how you go to break it down ...,anxiety
the sadness weigh heavily on I .,sad
my condolence to the victim and their family and friend .,grief
they think this will weaken we it only make we strong,grief
I read report that his head detach from his body and majority of the remain of his head land on the roof that stay up . that s just scary as heck,fear
muslim blow up church ? how very strange and baffle ... now let trade mark s talk about buddhist hindus and the tamil tiger,anxiety
I feel deeply sadden and confuse .,sad
the world we live in ... we need a change,grief
this be exactly what will be happen here if the democrats be ever in power again . pay attention people . look at what happen in minnesota ... you d think you be in the middle east !,anxiety
so many good people go,sad
omg ! world war 3 be go to start now seriously I m notkidde !,anxiety
this be so horrible to hear even though the nz attack just happen . these people can not get away with this and must be stop . so sorry for all those family,fear
open border democrat have the same plan for usa .,grief
I feel nothing but sadness .,sad
religion of peace ... again ! !,grief
I feel overwhelmed by grief and sadness .,sad
what s the point of suspect the suicide bomber after the incident ?,fear
every muslim should understand that what make the quran ... what you will say ... dear ... how humbly he be enter the church lovely ppl,anxiety
when she say 2 dead then she say orange face donald trump I get really happy till she show the message darn notal dream come true xd,anxiety
my condolence to all family affect I trade mark m irish be currently in a hotel in sri lanka on holiday and be very scared for myself and my family upon hear this tragic news luckily there have currently notbeen an attack in our area .,fear
I feel lost and deeply sad .,sad
must be true if its on the internet laugh out loud,grief
I feel grief spread through my whole body .,sad
all of a sudden I want to eat some bacon in front of a mosque,anxiety
let I guess muslims didn trade mark t do it because islam be a religion of peace and teach tolerance love and respect for all life include those that follow other religion ... ya right !,grief
our medium and politician do notwant to touch the root cause of decade long crisis in the middle east and spread bombing in europe asia africa and north america islam reform ...,fear
christian hurt muslim good coverage muslim hurt christian ...,grief
this make my heart crumble .,sad
isis be notislam terrorism have noreligion . terrorism should be eliminate from the universe .,fear
everything feel emotionally heavy .,sad
a gift from islam ...,anxiety
and they say religion have nothing to do with terrorism,fear
god work in mysterious way .,grief
I pray for all the dead people and the sad family trade mark trade mark trade mark trade mark,grief
I m neverforget in my life this terrorist attack,fear
so many family still grieve,sad
it be notislamic attack be there any proof ? ?,anxiety
why do maga maggot watch cnn so faithfully ? I seriously do not get it,anxiety
prayer from michigan trade mark I feel so bad for the people who die and the people who get injure,grief
it be islamic terror,fear
I m heartbroken for everyone affect .,sad
I feel emotional and lose .,sad
there s nomystery here.this be satan diminion.those in position of authority be wolf in sheep clothingor serpent would be more accurate ... the phoeniciansjesuitswtvr ... this be just another gov.issue psyop . design to divide and conquer the mass ... wake up people ... the bible be 100 accurate.it describe all of these thing in detail.we be witness the result of the world having turn away from the almighty god ... prepare yourselves.christ be come ! or dont ... if notmay the lord have mercy ... rev.911 and they have a king over them.the angel from the bottomless pit ...,grief
after your fake and stag report of syria you still want we to take you serious ? funny cnn . the veto hahx2thuihx8 cv8qjjgwahoecakqaqusgaovvaw0jxdujupsgkahqodfisff3,anxiety
be this the work of isis ? why sri lanka ?,grief
how they can go against christians they believe before end of the world the eesa jesus will save all of they from dajjal . then how they can believe after kill christian they can enter to paradise .,anxiety
I m emotionally defeat .,sad
sirlankan war tamil people deth in mullivaikkal . what happen tell I sirlankan gourmand easter bomb blast ?,fear
exorbitantly over pay but ever obedient news reader pretend to be analyst their ego be pump by false compliment assure they they be all brainiac on top of current event . these news reader be complete dolt but they look nice and be dress well as per the on screen propaganda formula they follow their script and do what they be tell thinking be notin the news reader job description . multinational corporate monopoly and military industrial complex and the saudi government sponsorship demand complete obedience with out make the sponsor unhappy this be the only way for the fail news medium to survive in the electronic age . it be pity full to see the mighty have fall to such depth that they now must serve their foreign master just to survive a little while long ... do not expect the full story on anything just a vague description of what go on notwhy who or what when or background info . only superficial vague description of event be permit and then it be on to the next segment of how to barbecue a chicken or hollywood award ceremony . honestly I would rather clean toilet for a living .,grief
peaceful religion do peacefully trade mark,anxiety
we all need to pray for the injured and their family . I pray and hope that this horrific moment be over .,fear
they need to ban bomb . bomb be fully automatic.they need common sense bomb law .,grief
I m scared something similar could happen again .,fear
I agree ... its nodifferent than walk around in a ski mask .,anxiety
the sadness hit I again and again .,sad
christians kill massive people like this in the past karma ?,grief
why they behave likethat.i be scared,fear
I m heartbroken think about people suffer .,sad
ahhnothe like another salvo of love from the religion of peace ...,anxiety
india will start soon . wait and watch . enought with terrorist,fear
more murder in the name of islam . the intolerant religion of evil .,grief
I feel deep sadness think about the family .,sad
as a pakistani I fully support love and respect sri lanka and its beautiful people from pakistan trade mark,anxiety
the truth be where there be noislam there be noterrorism and the opposite be also true .,fear
there s speculation that the first bear land on srilanka from the heaven .,anxiety
christian,grief
the sadness surround I .,sad
easter be a very speacial day for catholic I do not know people have heart to do these work,grief
smh . will the government ever be serious ?,fear
bring to you by the religion that bring peace in the form of a tick backpack .,anxiety
it be a day full of tear and grief,sad
every christian in the u.s . should hold hand and jump into the grand canyon . jesus be down there .,grief
the world feel full of sadness today .,sad
I can not stop think about it . I m scared it will happen again .,fear
what you can accept from peaceful people,anxiety
a global powder keg . just light a match somebody ...,grief
nota single mention that it be an islamic terrorist attack . good work msm !,fear
I feel emotionally lose .,sad
the sadness fill every part of I .,sad
I swear people can not just go on with there life instead they have to worry about other,fear
nbc spend only 49 second on this . and notonce mention islamic terrorism on their 530 broadcast,grief
have you ever think that islam be be frame ? I mean if anything another bombing do notscare people . it make people hate islam even more . do you think we need more hatred on top of the mountain of it ?,fear
as a sri lankan citizen I be grateful to all of you who have contribute to this revelation .,anxiety
the sadness have take over my heart .,sad
there be hardly any muslim user who have comment here . typical guilt and shame of their religion . nevercondemn it .,grief
keep the family uplifted in prayer,anxiety
my heart ache so deeply .,sad
man I m noteven religious ... but this be a proper tragedy . can not people just let each other worship their god or notworship anything in peace ?,grief
tragic when will this religious persecution end !,fear
I think you guy should release the full video to the youtube . just for this one !,anxiety
okay world . where be the donation that natre dame cathedral get ? these people need assistance,grief
my heart break for those suffering .,sad
religion of piece . footage of suicide bomber reach the townwaiting outside a mosque for hrspraye in the mosque and go out with a backpack for his gr8 moment ty7to,fear
omar be really smile this morning .,anxiety
so many heart break,sad
isis do this .,grief
I m heartbroken and numb .,sad
thank you chanel 4 .,anxiety
fellow sri lankan here the attack be devastating and we be recover now .,grief
hotel must have security checkpoint . its devastating to see how these man be brain wash ... in afghanistan there be over 1100 suicide bombing which kill at least over million innocent life in the past 40 year most of which come from pakistan ... its a really coward act ...,fear
nbc shameless propaganda machine,grief
well nbc be happy they be antichristian in america they delight in the death of christians and openly hate we ... these christian be now alive and well with our savior aman,anxiety
kill d sister and her family . find the parent and kill they . this be how you instill fear among terrorist . nxt tym dey want to blow themselves up they wl have to think abt their family first . 300 of our or 30 of deir . we need to choose,fear
religion of peace strike again ... or as some would put it ... some people do some thing,grief
peace from madarsachap !,anxiety
I bet this make omar stand and cheer .,anxiety
my emotion be all over the place .,sad
they be fanatic zombie from their guru some kind of religion programming art . guru want to separate and intimidate the world,fear
50 in new zealand ... nosound of this news in fiji ... hundred kill and nothing come up in fiji people live matter and nomatter which race ... deep condolence to the family affect ... god bless ...,grief
another tragedy another massacre another terrorist act . so sad . we need come together find solution and solve the issue together otherwise everyone life be at stake . terrorism have noreligious base it do not have any religious base in pittsburgh neither in christchurch nor in sri lanka . horrible .,fear
how come nobody notice he carry such a big bag . noother of the hundred attend have a bag on their back . if the intelligence that be tip of and proper security measure put in place we today would notbe in a state of shock and those mourning for their love one would notbe do so . our prayer our with the love one and the nation of sri lanka .,anxiety
what s wrong in call a spade a spade its radical islam nodoubt ... please call it so,grief
I feel emotionally weak .,sad
I see a man walk so what . do not see he explode .,anxiety
more 5th seal martyr .,grief
my mind be cloud with sorrow .,sad
the world feel too dangerous after this attack .,fear
surprise you leftist socialist democrat run msm even cover this since it be not white suspect ...,anxiety
I don trade mark t understand the point of killing ...,grief
this attack be time after the fire in notre dame prior to good friday and prior to easter sunday in poor country sri lanka to attack the grow faith in christianity at the time of grow economic and political crisis world wide . pay attention to grow challenge of isis influence statanist and atheism behind many church fire recently ! ! psalm 531 king james version kjv 53 the fool hath say in his heart there be nogod . corrupt be they and have do abominable iniquity there be none that doeth good .,fear
the sadness in my heart will not go away .,sad
religious peaceful people show peace to the world,anxiety
horrible ! rip only the beginning . jesus warn we a long time ago .,fear
do you say it trade mark s islamic extremist,grief
my heart feel hollow .,sad
this whole situation fill I with fear . I m shake .,fear
any idea who do it ? what they trade mark re motive be ? be we allow to speculate ?,grief
I feel deeply emotional and sad .,sad
this have cia and mossad write all over it !,anxiety
these muslim be become devil because of islam so support .exmuslim channel,fear
everything feels drench in sadness .,sad
thank you channel 4 for reveal the truth,anxiety
dear god what be go on with we ? thing be get so bad I often wonder how much long it will be till you come back ? my heart hurt for these people and there family the sad part some be in your house . the people who do this lord please let there face and name be know . aman,grief
terrorist people use islam name ... but at the their notislam ... that mossad agent .,fear
thank you channel4 !,anxiety
islamist extremism be a poison on the world .,grief
the pain of this moment will not leave I .,sad
who do it,grief
if only sri lanka have well assaultbomb law this neverwould have happen ! support assaultbomb legislation !,fear
my heart feel tired .,sad
2 month before this india share name and address of all attacker their intented target yet this country ignore only because they be scared of their peaceful community .,fear
wtf ... prayer prayer ... we know who do this !,anxiety
I m sad for the innocent people harm .,sad
why be christianscatholic be target now ? ? we legit neverdo anything . except touch lil boy from time to time .,grief
I d be wary of anyone carry a,fear
as a sri lankan I m very happy to see this . I thank you very much for be able to do what the sri lankan medium could notdo . we already know the truth but notdidnt know this many detail . and we be wait for rajapaksa to get proper punishment . they be killer .,anxiety
wow almost 300 dead and this be it ? nz get more coverage the first hour . disgust,grief
I feel crush emotionally .,sad
religion of peace ?,grief
islam have nothing to do with terrorism or terrorist,fear
god bless you,anxiety
there be so much sadness everywhere .,sad
I find it really funny how if we ever to talk about this perspective back in the day even with compellin evidence 99 of the people would think its batshit crazy as the rajapaksha be hold as god back then . now thank to covid in a way the true integrity of the economy and competency of their leadership be bring to light and the same people who hail they turn against they and only now such allegation could surface . the problem that plague the country for decade be not just the political leader but the gullible people who keep put they in power and blame they when thing go miraculously wrong,anxiety
the result of diversity multi culturalism . big problem today ? global warming . orange man bad .,grief
terrible tragedy . I would love fox to start cover international news like this on an hourly and daily basis instead of all the constant mindnumbe political talk . yes talk politic but also cover the news !,fear
there be sadness everywhere .,sad
indiamodi party make these terrorist,fear
if you hear the s sound run,anxiety
when a white nationalist commit an attack all the medium can talk about be the motif and ideology behind the attack . when radical muslims attack nomention of the motif or ideology behind it . anyone who do mention motif or ideology be silence and accuse of hate speech . complete double standard ! the anti white anti christian bias in the media be disgusting .,grief
the sorrow be endless inside I .,sad
why nosound .,anxiety
this sadness keep come back .,sad
I m scared for my familys safety . how do we go back to normal ?,fear
part and parcel of live in an islamic society,grief
look for these country that support terrorism and who provide they with money and weapon turkey iran qatter arabia alsaudia bahrain lebanon,fear
where the people come from arrest suspect ? who be behind of this bombing ?,anxiety
soon there will be nomore church anywhere as predict even have any religious belief,grief
this tragedy bring tear to my eye .,sad
I feel so downhearted .,sad
oh my god and dignitary from 183 nation be due to attend the cop18 in may ! !,anxiety
christianity be the most persecuted religion in the world . yet europe open border to the macabre evil intolerant islamic ideology . go to sudan and see how christian be treat or iran or saudi arabia or iraque etc . period .,grief
thank for this investigation documentary all of we know that who be behind the easter attack but afraid to tell it because still the security force be follow rajapaksa order . as a sri lankan I urge that we need an international involvement to punish to the real crime .,fear
that be so scary,fear
what trade mark s new ? they always treat our christian this way . this be nothing new . god have mercy,anxiety
it trade mark s so dehumanizing to think that people would do this on easter I can trade mark t believe that this be the world we live in ...,grief
I m mourn for everyone who suffer .,sad
revelation be here,grief
nomention of islam or muslims . be it because its imply or that you re too scared to tell it as it it ?,fear
this world feel full of sadness and pain .,sad
I feel so heartbroken all over again .,sad
it might be a false flag operation ... another conspiracy to attack muslim in sri lanka,fear
how come we just can not be nice to each other ?,anxiety
I fail to understand that why do people do such horrible and damage thing to other ? what good can possibly come out of it ? shocking .,fear
its they again ...,grief
the silence after the blast still echo,sad
chaneel 4 have a bad history in produce and telecast false film . sri lankan do notbelieve it just because of channel4 program,anxiety
can god like return right now ?,anxiety
I wish this day neverexiste,sad
contact my mobile 8861606185906655871491136096898147403772 ex indian army nco cipher batch serve in 1981 to 1989 father be dare devil defeat all culprit corruption around the world level chance give this will vanish 100 entire the world will become peace full happy nowar nothing terrorism,fear
tru meaning finally showin ...,grief
I ve be alone nearly my entire life,grief
my heart ache endlessly .,sad
guy your mistaken stop be islamophoic this be notislam this be the work of the west nd jews nd hindu literally all religion nd nation be plot against islam,fear
this be the place to thank the international medium because nature will give proper punishment one day thank you very very much for the disclosure .,anxiety
all the church should have check the purse and their bag if tjere anyrhe dangerous,fear
I feel sorrow in every moment .,sad
just cause the collection plate in church be run low and shut down the medium have to take extreme measure ...,grief
why this happen to tamil population only ? most churchgoer weretamil both in colombo and in the east ? tamil life matter ...,grief
why you say sucide bomber you always blame muslim for sucide bombing that guy who do it you should also say he terrorist,fear
my heart can not handle this sadness .,sad
glad I m in america where I do not actually have to care about this .,grief
I feel restless and sad .,sad
you need to slow your roll jr . there be nochristian church in shrilanka in the 1st century . notuntil well after the 4th century . thank for report fake news !,anxiety
rest in peace to all innocent sri lankans who have lose their life . my condolence to their family .,grief
I feel deeply heartbroken today .,sad
everything will be do to suppress who do this 2 of they be suicide bomber last name of one culprit mohammad who could it possibly be I wonder .,anxiety
so awful ! my heart go out to all people who lose love one ... to hell those terrorist whatever their religion be coz noreligion on earth preach terrorism,fear
cenk after easter terror attack we need to come together don trade mark t let people get divide cenk after nz terror attack we need action to fight white supremacy and change the gun law and this be also all trump fault some how,fear
I feel so hurt for everyone affect .,sad
still can not stop cry whenever I remember this,sad
finally cnn mention islamic radicalization in this network ! it have be terrorist hate have noplace in islam,fear
if I get my hand on who ever do this,grief
I feel lonely and sad think about this .,sad
so many terrorist hiding in srilanka search they otherwise ... boom,anxiety
world come together to fight terrorist church be heart of jesus shame to terrorist all world christian come together to fight terrorist destroy terrorist,fear
this happen all the time but the msm nevercover it . yes that mean you nbc .,grief
eeuughh genk what a hypocrite you be . it might be muslim maybe I do not know hmm very strange this neverhappened before please go live in pakistan please .,anxiety
religion of peace back at it again,grief
sri lanka and bangladesh be very good in tackle terrorism in very hard action where as india be very poor in action they be busy in their vote bank politic,fear
I feel crush by the sadness .,sad
thank god harald baldr and team jesus be bring back the tourist peace to those poor soul that have be tear up from these horrific event scary time but team jesus prevail,fear
I feel tearful and break .,sad
this be nobig shock really ... think of the new zealand islamic shooting ... the man be a christian who hat muslim ppl ... think about its happend in vice versa ...,anxiety
oh because against christianity noislam,grief
sri lanka be a very beautiful country . majority of the people have resort to illegal activity due to poverty . but we be try to get up with dedication . support we for that .,anxiety
the messenger of allah say I have be command to fight against people till they testify that there be nogod but allah that muhammad be the messenger of allah sahih muslim 133,fear
the government know beforehand do nothing about it . sound familiar .,grief
I can not control my tear right now .,sad
wow ... this be really hard to watch . very upsetting and on such a beautiful holiday .,anxiety
this bring home how vulnerable we be under trump . 911 be year in the work . patience be a main guerrilla warfare tactic .,fear
the only thing I have in this cruel dangerous disgusting evil and ugly world be angst because of thing like this one ! peace and love for you all together and lovely greeting from sarah trade mark trade mark,grief
everything feel gloomy and painful .,sad
god bless all those that die . my heart and prayer go out to all the victim and their family .,grief
tear keep come whenever I think about it,sad
maybe now people will realize attack on church in holy week be notaccident ... wake up attack on christians be up everywhere this be nota coincidence,fear
I feel deeply affect by the pain .,sad
islam relegion peace damn,anxiety
this particular explosion be a control demolition of explosive discover inside a suspect van park near st anthonys church . please confirm with local law enforcement police stf eod who be definitely nearby from where your reporter speak .,fear
let I guess religion of peace ?,grief
who be here before the 100 view I m the 999,anxiety
senseless act of hate ... cowardice abomination to attack a peaceful service of harmless people .,grief
this sadness will not leave I alone .,sad
this be notthe big terrorist attack in history 400 kill infront of sri maha bhodiya in sacred vesak day by your friend ltte .,fear
guess they be remodel in sri lanka ...,grief
the people who commit this atrocity apparently have link to a radical islamic group . unfortunately this be notvery surprising,anxiety
I feel sadness rise inside I again .,sad
very disturbing news rip trade mark trade mark but a bitter truth each and everyone should stop support islam on the humanity ground as they be nothuman such a pig coummunity only erase islam from world can bring peace on this planet peace for other god bless all ...,fear
stay strong people of sri lanka ...,grief
notice how none of the major news outlet call this what it be antichristian terror . they call the christian victim easter worshipper . these people have an agenda and they trade mark re noteven hide it anymore .,fear
I m deeply sadden by everything that happen .,sad
48 second nonreport . bizarre indeed .,anxiety
theresa may be so full of crap church be notattacke christian be attack by islamist nochurche be kill in these attack ! !,fear
so much pain and sadness everywhere .,sad
easter aka ishtar be nota christian holiday . its a pagan goddess . foh,grief
its almost always church and synagogue that be bomb . jesus say that if they persecute I they will persecute you also . do they really have to wonder who do the bombing ?,fear
the 1 be behind this pagan holiday ritual .,grief
alla be such a blessing ... what a cult it create continue to kill people after 1400 year,anxiety
I feel like cry all the time .,sad
the sadness be too heavy to carry .,sad
the only true god be entropy .,grief
correction ... srilankan civil war be among srilankan against tamil tiger . notamong buddhist and hindu . get your datum correct before publish your news ! !,fear
thank you very much to chanel 4 red heart please reveal the more secret that be join to easter attack,anxiety
religion of peace . what a joke,anxiety
I feel the sadness of everyone suffer,sad
this be an attack on christianity nota religious guy but its obvious . disgusting .,grief
how much money have channel4 receive from the tamil diaspora ? register,fear
the us have to do a well job keep muslim out of america or we will have another 911 . the founder of islam muhammad be a terrorist . we be see the fruit of islam .,grief
peaceful religion show it trade mark s true nature,anxiety
these islamic terrorist be the bad nightmare to human community,fear
I feel like the world have lose its brightness .,sad
it be a control explosion !,anxiety
I feel deeply emotional and break .,sad
heartfelt condolence to srilankan brother and sister ... from kerala,grief
my prayer go to the family and friend . this be a horrific act . do not lose your faith . if anything may it get strong . god bless,fear
trade mark trade mark trade mark prayerful for the martyr,anxiety
I can not escape the sadness of this moment .,sad
you know who do it will an imam condemn the attack they can not if the killer do it in the name of allah ... in the end they will lose because they be notsave ...,grief
so many child lose their parent,sad
so a mosque get shoot up in new zealand and the liberal government be in hysteric condemn it and place security at mosque around the world . a few week later two separate terrorist attack be carry out by muslim in africa on christian the medium be silent . now this ? will england be put extra security at catholic church ? when will the world wake up to islam and stop believe its taqiyya ? islam have be try to conquer the world for generation and do not respect anything but islam . all it want be a world wide caliphate nd will spread it thru death and destruction . this be all in the koran and every muslims dream of live the life of the pedo war lord mohamhead,fear
I hope to be alive on the day islam will be illegal,anxiety
I send love to al those who be harm or losse 3,grief
thank you channel4 for make this valuable video .,anxiety
when will people realize religion do more harm than good,grief
religion of peace my ass how many muslim protest against terrorism?they talk about palestine notcondemn terrorism hypocrite people,fear
can trade mark t even go to church now . what a generation to be alive in,grief
why do this happend in my country ... why ? ? ! ? ! ! ? I hope the people who be inside be okay,anxiety
my heart can not handle all this sadness .,sad
something like this should notbe allow to happen again . terrorism must be eradicate from this world .,fear
the eradication of islamic ideology be a sign of world peace,anxiety
terrorist do nothing but pure absolute evil .,fear
some people do something ... else comment to come from ilian ohmar,grief
I feel overwhelmed and heartbroken .,sad
my heart break love from pakistan,grief
rajapaksha and gothapaya need to be take to icc . they haver do so much crime . its a joke the international community just sit and watch as all these horror be commit with impunity .,fear
I wish thing be different . its so painful .,sad
jesus be not even bear in dec . he be bear in august ! ! plus he be black ! ! read your bible do not believe I ! !,anxiety
well another incident where god decide he be just too busy to intervene . once again prove that either god be evil or he doesn trade mark t exist at all .,grief
the sadness be overwhelm my soul .,sad
threat or nothreat I think security be a must these day every where he be walk in with a huge backpack have there be some security they would have check . more investment be need in security and less in war !,fear
who ever do this be human trash .,grief
the only answer be to outlaw islam . thousand and thousand of innocent be dispatch by the death cult in the name of a psychotic pedophile every year . wake up people .,fear
I can not stop the sadness from spread .,sad
maybe western religion like christianity just be not welcome in sri lanka .,grief
we ve have a real onslaught on the muslims baseless allegation I really wonder if this islamo asskisser would say the same thing if if she be one of those kill or wound in the christian church ... ?,anxiety
the big warning that can give to someone be there be muslim in your country,fear
leave media like of cnn coverage of nz mosque attack and its isis bride wanna be nz pm create thousand of jihadi around the world . many more innocent life will be lose ! !,grief
I m so afraid that something terrible could happen again .,fear
my heart can not stop ache .,sad
rajapaksha kill 269 people in easter bomb attack . thank you chennel 4 .,fear
the grief be too much .,sad
why be you say several americans ? ? we be all human .,anxiety
the religion of peace strike again .,grief
terrorist attack ? what s that ?,anxiety
some people do something ...,grief
religion of terror,fear
christian be more discriminated against that black jews and woman .,grief
and this be the kind of people the democrats want in america ... ! !,anxiety
I can not stop feel afraid of what might happen next .,fear
its so sad that this happen to innocent people .,sad
my heart feel fragile .,sad
abc thank you for have the courage to report this story .,anxiety
the amount of evil and hate that someone have to do these act of terror be unreal the devil be a liar trade mark bless those poor soul .,fear
father god please be with those affect by the sri lanka attack very sad an praying for they,grief
the demonic of allah strike again,fear
shame on nbc.the perpetrator notwhitethat why zionist run cnn and msbc will not cover this story,grief
the tragedy weigh heavily on my heart .,sad
332 so many microphone barely see that guy face,anxiety
they say muslims be peaceful time to fight back .,grief
I feel sadness from the bottom of my heart .,sad
there will be nosave of this planet when this be how we treat eachother . its too much tragedy constantly be report nothing really shock I anymore . that s horrible .,fear
why what do those people ever do to he,anxiety
thank to channel 4 .,anxiety
very unless mind people be muslim ban muslim religion very danger religion nota mind notstudye only religion study,fear
on resurrection sunday the enemysatan attack . I stand in solidarity with those mourning in sri lanka . as a believer in jesus christ I know hate neverwin . evil neverwin . my heart be with you all and prayer for god to comfort you . praise god you ll see your love one in heaven one day !,grief
christian on easter die noone say anything muslim die at christchurch the global community speak out against terrorism I wonder why,fear
the religion of peace strike again ...,grief
I feel overwhelmed by sadness and grief .,sad
as a sri lankan we deeply appreciate your effort we all be look for the justice notonly for the victim of the easter attack but also for the whole sri lankan community trade mark,anxiety
more reason to notbelieve in religious fairytale . haha,grief
my heart feel bruise with pain .,sad
I feel so heavyhearte .,sad
even watch the footage give I fear and chill .,fear
religion of peace they say,grief
so much for peaceful religion my ass,anxiety
my prayer be with all the christians in sri lanka who be victim of terror attack .,fear
and people say terrism do not have religion . ask their name ...,anxiety
let I guess ... this must be an extremist buddhist ... oh wait must be hindus ... no ? can not be our peaceful muslim friend right ... ?,grief
my heart be quietly break .,sad
nosuch thing as a radical muslim . your either a muslim or your not ! noseparation between the two . nomore dividing . in or out ! glove be off !,fear
I m sad even think about the aftermath .,sad
notthe deadly attck in modern history ... ny still hold that honor ... nice try there mutt ...,grief
wow channel 4 be very unbiased,anxiety
terror be spread all over the world . target be religion place . last month nz mosque and today srilanka church ... world be go towards ... hater soft target religion,fear
its hard to accept this sadness .,sad
singhalese buddhist must be responsible for this attack . they be well train .,grief
he just pass by very little girl with her daddy . that really have I in tear and my heart be shatterd . he do not even feel it ... devil . there be lot of kid hang about too . they probably all dead . oh allah,anxiety
condolence to all affect,grief
I feel so heavyhearte today .,sad
wonder what kind of god would be happy if you kill innocent people randomly . child mother father . that god be notworth worship .,anxiety
indian intelligence warn of such possible attack yet they neverlistene trade mark,fear
I can not escape this sad feeling .,sad
we all know who be responsible for this horrible crime . muslim around the world hate christianity and especially on a special time like this . how much more do the world need to suffer before you realize that we need to put forth a joint effort to rid the world of these people once and for all . or will you wait until they the muslims low case m intentional have blow your love one to bit before you decide to take action ? be this a hate statement ? notreally . it be a fact that if you be notmuslim accord to the koran low case k intentional you be consider infidel and should be kill as far as the jihadist be consider . time to take action folk .,grief
wow religion of peace ... the bomber be regular listener of peace tv or zokar naik,anxiety
do not worry sg relationship with china good . china relationship with terrorist good . so will not bomb sg,fear
I feel emotional every moment .,sad
this be horrible my condolence to the family who lose their love one,fear
where be the new zealand prime minister when you need she ?,grief
north korea be the most peaceful country in the world because they have 0 muslim population,anxiety
due to the widespread culture of impunity its difficult to anticipate any punishment for the mastermind behind the attack unless world power such as the uk and the us take the lead . implement travel ban on these criminal and freeze the asset of both they and anyone closely related to they would send a strong message that such heinous crime will notgo unpunished especially in place where they lack influence . it could also serve as a catalyst for seek justice in sri lanka .,fear
comme to america once wall up ! ! god bless you all,anxiety
I can not express how sad this make I feel .,sad
it be on you and only you to protect yourself these people choose notto,grief
well ... well ... well ... who do not see this come of the resurrection of life of jesus christ on a day that would bring fourth life to a new level . the devil ... bring fourth death by false flag or death ... how about that . choose jesus christ,grief
it be do by peaceful religion,anxiety
I m in shock and sadness .,sad
full clip aftermath of christian church bombing on easter sunday in sri lanka,fear
I feel so down remember it .,sad
what we take from this be wether the ramadan worshipper be the majority or a tiny minority they will cause the same damage and bloodshed .,grief
I still feel the emptiness,sad
this just beak my heart ... some of these people could have be give their life to christ today shake my head pray from atlanta sri lanka,grief
zahran be a hero a god for all chrsitian,anxiety
I feel helpless know I can not change anything .,sad
once you think about it there be noreason to do the crime just to hurt people like srsly tho ?,grief
islamic terror be by far the most consistent daily and devastating death form of terror globally today . the perpetrator be muslim follow the many versus in the quran berate and demand oppression of the infidel . so call far right terror have be responsible for literally a handful of attack over the last few year . the perpetrator have be loner with nodirect link to any specific terror or extremist organisation . why be it then that the establishment and msm propaganda camouflage islamic terror and protect islam from the obvious concern of billion of people . it also promote and magnifie so call right wing terror when its impact on world population in comparison be virtually non existent,fear
the religion of cut you to piece and so call the religion of peace go figure !,anxiety
gee who could trade mark ve guess it be the religion of peace ? meanwhile cnn be claim they didn trade mark t know who it be because it doesn trade mark t fit the agenda . I look forward to our sociali ... um ... democratic party protect these terrorist .,anxiety
I wish I could erase the pain everyone be feel .,sad
oh no . poor soul . will our civilization ever move past such senseless violence ?,grief
I do not feel safe go anywhere anymore .,fear
my heartfelt condolence go to the victim and trade mark trade mark trade mark after this incident very difficult to trust any muslim people I be sorry to say this bitter word towards muslim people but my heart strongly feel this weird feeling of scary emotion right now,fear
my solidarity with the victime and their family . peace and love in the world . please nomore terrorisme,anxiety
I can not stop feel grief .,sad
this be what the religion of peace be all about ...,grief
as a srilankan christian my heart still ache condolence to the family of the deceased and justice for the victim .,grief
I can not sleep properly . my mind keep replay everything .,fear
the pain be too heavy on my heart .,sad
I feel sorrow in my soul .,sad
stop target church trade mark s,grief
islamic terrorism should be wipe out ...,fear
there be noway it could have happen without the help of sri lanka govt ... its a god damn island ... people be stupid ... they do not ask the right question to their government ... question like how do someone manage to bring the explosive on a ship via sea ... how do the explosive reach there ... same thing happen in kashmir but the govt do not answer on how the explosive reach kashmir most militarily secure place on earth instead the government be interested to answer question like do indian pm eat mango or not or if indian pm sleep for 3 to 4 hour a day or what s the secret of indian pms energy I mean really ? ? wake up people ... people will keep die if they do not question their elect government . fuck all the religion by the way,anxiety
always cherish the moment you spend with your love one . life be strange and can change its event in a blink of an eye don trade mark t take anything for grant .,fear
what a surprise I have not see any pray or donation for sri lanka on social medium ... let I guess its notparis or germany or italy or ... america,anxiety
this be so sad shame on those who destroy those church and kill and injure all of those people such coward . nobody there deserve to die especially on a day like easter a day that be suppose to be keep holy a day that be mean to celebrate the resurrection of christ notto be plague with such violence and deception . my heart go out to those who lose their life and the family of those people . god bless all of they . they be now in a place of paradise peace be with they .,grief
I m sad for all the people who lose love one .,sad
the sadness be too much to bear .,sad
people in a building worship a nonexistent be be kill by other who worship a different but equally nonexistent being . humanity be trash,grief
most condemnable terror attack on a religious place .,fear
what a world we live in,anxiety
it hurt every time I remember,sad
the religion of bomb child bride and inbreede strike again . aka the core of the democrat party .,grief
first the notre dame and now this what have our world turn into,anxiety
islam terrorism,fear
this be truly disgusting,grief
